,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,C1,C2,C3,C4,C5,C6
C2-0,2008,2,8683,11918,984,8186,4083,12989,11708,3015,18418,6048,8990,1993,0,1,0,0,0,0
C2-1,2008,3,8302,12056,1345,8178,3936,11192,11110,3216,19862,6258,9198,2086,0,1,0,0,0,0
C2-2,2008,4,8693,12201,1679,8254,3980,12539,11725,2990,17589,6447,8650,1920,0,1,0,0,0,0
C2-3,2009,2,8380,13741,2108,7863,3978,11249,11996,3172,18262,6533,9514,2031,0,1,0,0,0,0
C2-4,2009,3,8686,12428,2548,8184,3691,12204,12049,2981,19613,6382,9484,2335,0,1,0,0,0,0
C2-5,2009,4,8406,11798,3004,7588,3927,12278,12557,2991,18654,6186,9689,2339,0,1,0,0,0,0
C2-6,2010,2,8926,13112,3389,8621,4187,11078,11991,2948,16647,6613,10198,2319,0,1,0,0,0,0
C2-7,2010,3,8314,11801,3555,7929,4204,11556,11901,2908,18601,6527,10398,2236,0,1,0,0,0,0
C2-8,2010,4,8513,13815,3902,8249,3644,12550,11745,3181,18955,5989,10124,2324,0,1,0,0,0,0
C2-9,2011,2,8118,11575,4660,7183,4167,12147,12067,3146,18276,6254,9649,2359,0,1,0,0,0,0
C2-10,2011,3,7874,11540,5047,7896,3942,12351,12346,3014,17103,5428,9806,2644,0,1,0,0,0,0
C2-11,2011,4,8178,12677,5325,8253,4011,11915,11847,2897,17793,5948,9721,2772,0,1,0,0,0,0
C2-12,2012,2,8378,11166,5776,8036,3976,11935,12691,3061,18468,5996,9951,2448,0,1,0,0,0,0
C2-13,2012,3,7616,13248,6088,7840,4295,11592,10922,3262,18713,6315,10316,2399,0,1,0,0,0,0
C2-14,2012,4,8300,13173,6483,7862,4276,11225,11558,3250,18060,6196,9907,2782,0,1,0,0,0,0
C2-15,2013,2,8697,11031,7217,8802,3968,11000,11086,3085,18890,6491,10090,2818,0,1,0,0,0,0
C2-16,2013,3,8210,13223,8183,8656,4365,11223,11783,3016,17714,6962,10024,2695,0,1,0,0,0,0
C2-17,2013,4,7859,12221,7354,7837,3791,11582,10560,3248,19772,6439,9317,2802,0,1,0,0,0,0
C2-18,2014,2,8123,12162,7761,8212,4158,12749,11396,3202,18430,6508,10873,2846,0,1,0,0,0,0
C2-19,2014,3,8761,11427,8154,8369,4162,12220,11243,3039,19772,5783,9872,2804,0,1,0,0,0,0
C2-20,2014,4,8437,12295,9828,8680,3680,11793,11694,3113,17886,6686,8996,3127,0,1,0,0,0,0
C2-21,2015,2,7877,12602,9551,8463,4319,11526,11937,3450,19098,6459,9832,2898,0,1,0,0,0,0
C2-22,2015,3,8528,12049,9720,8559,4313,12123,10855,3193,19620,6135,9223,3022,0,1,0,0,0,0
C2-23,2015,4,8149,11627,10377,7776,4034,11376,11828,3137,15763,6313,9752,3034,0,1,0,0,0,0
C2-24,2016,2,7926,12474,10968,8141,4076,12132,11224,3207,18883,6050,9592,3030,0,1,0,0,0,0
C2-25,2016,3,7891,11935,11113,8162,4159,12419,11983,3385,17704,5794,9349,3329,0,1,0,0,0,0
C2-26,2016,4,8059,11521,11828,7285,4433,11700,12229,3026,18826,6870,8929,3342,0,1,0,0,0,0
C2-27,2017,2,8721,11513,11348,8299,4230,13853,10769,2753,18330,6623,9628,3396,0,1,0,0,0,0
C2-28,2017,3,8371,12005,12770,7681,3301,12338,12792,2848,19759,6246,9331,3313,0,1,0,0,0,0
C2-29,2017,4,8829,12351,13629,8211,3961,12310,11078,3269,19449,6038,9781,3497,0,1,0,0,0,0
C2-30,2018,2,9109,12539,12131,7818,4058,11943,12343,3099,18535,6728,9698,3244,0,1,0,0,0,0
C2-31,2018,3,8253,13627,14330,8707,4146,11930,12221,3156,18003,6357,10051,3451,0,1,0,0,0,0
C2-32,2018,4,8385,11534,14549,7806,3970,11606,12044,3081,19117,6432,9823,3553,0,1,0,0,0,0
C3-0,2008,2,1514,1179,1543,1258,1948,1364,1512,1603,1527,1458,1325,1202,0,0,1,0,0,0
C3-1,2008,3,1865,1434,1676,1384,2355,1503,1757,1899,1693,1850,1411,1377,0,0,1,0,0,0
C3-2,2008,4,2023,1685,2006,1475,2795,1557,1821,2133,2016,2122,1574,1650,0,0,1,0,0,0
C3-3,2009,2,2590,1967,2172,1720,2854,1670,1981,2478,2005,2438,1652,1753,0,0,1,0,0,0
C3-4,2009,3,2938,2136,2457,1738,3332,1757,2205,2734,2092,2748,1852,1821,0,0,1,0,0,0
C3-5,2009,4,3066,2117,2521,2067,3359,1871,2620,2713,2460,2736,2051,2075,0,0,1,0,0,0
C3-6,2010,2,3506,2391,3120,2099,3513,1957,2751,2619,2757,3285,2275,2351,0,0,1,0,0,0
C3-7,2010,3,3782,2756,3220,2460,4402,2071,2784,3012,2781,3444,2028,2257,0,0,1,0,0,0
C3-8,2010,4,4106,2755,3377,2435,4756,2597,2932,3404,3036,4038,2273,2409,0,0,1,0,0,0
C3-9,2011,2,4671,3215,3813,3037,4773,2215,3538,3326,2962,3947,2584,2586,0,0,1,0,0,0
C3-10,2011,3,5082,3474,3752,2962,5403,2402,3328,3734,3188,4065,2586,2815,0,0,1,0,0,0
C3-11,2011,4,5215,3459,4140,3339,5214,2596,3777,4356,3463,4656,2824,2813,0,0,1,0,0,0
C3-12,2012,2,5388,3728,4454,2981,6139,2888,3704,4167,3484,4716,2966,3127,0,0,1,0,0,0
C3-13,2012,3,6477,4243,4271,3807,6894,2936,3558,4331,3631,5278,3047,3180,0,0,1,0,0,0
C3-14,2012,4,6095,4455,4467,3512,6549,2885,4027,4230,3837,6044,3290,3722,0,0,1,0,0,0
C3-15,2013,2,6988,4410,4802,3899,6995,3057,4241,4570,4166,5637,3315,3593,0,0,1,0,0,0
C3-16,2013,3,7078,4536,5270,4079,7315,3014,4505,5278,4625,6202,3291,3706,0,0,1,0,0,0
C3-17,2013,4,7774,4922,6088,4485,7761,3136,4705,5088,4527,6563,3608,3843,0,0,1,0,0,0
C3-18,2014,2,7501,5287,5765,4329,7845,3459,4758,5095,4159,6664,3981,4506,0,0,1,0,0,0
C3-19,2014,3,8023,5343,6405,4830,7363,3779,4999,5519,4358,7373,3793,4459,0,0,1,0,0,0
C3-20,2014,4,8956,5383,6552,4856,7603,3620,5334,5648,4644,7846,4393,4805,0,0,1,0,0,0
C3-21,2015,2,9074,5647,7125,4909,8175,3650,5072,6808,5041,7568,4366,4751,0,0,1,0,0,0
C3-22,2015,3,9520,5912,6958,5279,8970,3631,5684,6075,4935,7864,4257,4913,0,0,1,0,0,0
C3-23,2015,4,9332,5964,7224,5165,9276,4515,5801,6314,5620,8556,4564,5075,0,0,1,0,0,0
C3-24,2016,2,10501,5592,7361,5369,9722,4052,5823,6685,5937,8673,4569,4843,0,0,1,0,0,0
C3-25,2016,3,10491,6638,7576,5478,9678,4404,6038,6853,6018,8501,4397,5650,0,0,1,0,0,0
C3-26,2016,4,10357,6391,7563,5728,9366,4579,7150,7132,5495,9685,4474,5504,0,0,1,0,0,0
C3-27,2017,2,10616,6745,7922,5857,11173,4680,6207,7132,5223,9475,4832,5873,0,0,1,0,0,0
C3-28,2017,3,10582,6772,8055,6150,10706,4658,6652,7628,5540,10316,5035,5711,0,0,1,0,0,0
C3-29,2017,4,12056,7737,8873,6125,10732,4758,7560,7805,6293,9790,5254,6006,0,0,1,0,0,0
C3-30,2018,2,10792,7628,8856,6698,11154,4737,6520,7847,6684,11052,5450,6943,0,0,1,0,0,0
C3-31,2018,3,12923,7414,9163,6472,11293,5085,7532,7392,6955,10301,5357,6144,0,0,1,0,0,0
C3-32,2018,4,11255,8641,9232,7070,12642,5329,7077,8839,6199,10372,6062,6800,0,0,1,0,0,0
C4-0,2008,2,8683,11918,1049,8186,4083,12989,11708,3015,18418,6048,8990,1863,0,0,0,1,0,0
C4-1,2008,3,8302,12056,1151,8178,3936,11192,11110,3216,19862,6258,9198,2074,0,0,0,1,0,0
C4-2,2008,4,8693,12201,1238,8254,3980,12539,11725,2990,17589,6447,8650,2356,0,0,0,1,0,0
C4-3,2009,2,8380,13741,1565,7863,3978,11249,11996,3172,18262,6533,9514,2511,0,0,0,1,0,0
C4-4,2009,3,8686,12428,1627,8184,3691,12204,12049,2981,19613,6382,9484,2840,0,0,0,1,0,0
C4-5,2009,4,8406,11798,2117,7588,3927,12278,12557,2991,18654,6186,9689,2986,0,0,0,1,0,0
C4-6,2010,2,8926,13112,2335,8621,4187,11078,11991,2948,16647,6613,10198,3636,0,0,0,1,0,0
C4-7,2010,3,8314,11801,2648,7929,4204,11556,11901,2908,18601,6527,10398,2874,0,0,0,1,0,0
C4-8,2010,4,8513,13815,2746,8249,3644,12550,11745,3181,18955,5989,10124,3739,0,0,0,1,0,0
C4-9,2011,2,8118,11575,3181,7183,4167,12147,12067,3146,18276,6254,9649,3801,0,0,0,1,0,0
C4-10,2011,3,7874,11540,3855,7896,3942,12351,12346,3014,17103,5428,9806,4425,0,0,0,1,0,0
C4-11,2011,4,8178,12677,4590,8253,4011,11915,11847,2897,17793,5948,9721,4077,0,0,0,1,0,0
C4-12,2012,2,8378,11166,4932,8036,3976,11935,12691,3061,18468,5996,9951,4781,0,0,0,1,0,0
C4-13,2012,3,7616,13248,6111,7840,4295,11592,10922,3262,18713,6315,10316,5040,0,0,0,1,0,0
C4-14,2012,4,8300,13173,6436,7862,4276,11225,11558,3250,18060,6196,9907,6225,0,0,0,1,0,0
C4-15,2013,2,8697,11031,8624,8802,3968,11000,11086,3085,18890,6491,10090,5992,0,0,0,1,0,0
C4-16,2013,3,8210,13223,9301,8656,4365,11223,11783,3016,17714,6962,10024,6749,0,0,0,1,0,0
C4-17,2013,4,7859,12221,9754,7837,3791,11582,10560,3248,19772,6439,9317,7422,0,0,0,1,0,0
C4-18,2014,2,8123,12162,11507,8212,4158,12749,11396,3202,18430,6508,10873,9534,0,0,0,1,0,0
C4-19,2014,3,8761,11427,13380,8369,4162,12220,11243,3039,19772,5783,9872,7992,0,0,0,1,0,0
C4-20,2014,4,8437,12295,15089,8680,3680,11793,11694,3113,17886,6686,8996,10482,0,0,0,1,0,0
C4-21,2015,2,7877,12602,18433,8463,4319,11526,11937,3450,19098,6459,9832,9124,0,0,0,1,0,0
C4-22,2015,3,8528,12049,19626,8559,4313,12123,10855,3193,19620,6135,9223,14749,0,0,0,1,0,0
C4-23,2015,4,8149,11627,21992,7776,4034,11376,11828,3137,15763,6313,9752,6809,0,0,0,1,0,0
C4-24,2016,2,7926,12474,28745,8141,4076,12132,11224,3207,18883,6050,9592,12830,0,0,0,1,0,0
C4-25,2016,3,7891,11935,28398,8162,4159,12419,11983,3385,17704,5794,9349,12874,0,0,0,1,0,0
C4-26,2016,4,8059,11521,32289,7285,4433,11700,12229,3026,18826,6870,8929,14982,0,0,0,1,0,0
C4-27,2017,2,8721,11513,35096,8299,4230,13853,10769,2753,18330,6623,9628,13949,0,0,0,1,0,0
C4-28,2017,3,8371,12005,43287,7681,3301,12338,12792,2848,19759,6246,9331,20842,0,0,0,1,0,0
C4-29,2017,4,8829,12351,46330,8211,3961,12310,11078,3269,19449,6038,9781,23980,0,0,0,1,0,0
C4-30,2018,2,9109,12539,52149,7818,4058,11943,12343,3099,18535,6728,9698,15726,0,0,0,1,0,0
C4-31,2018,3,8253,13627,70398,8707,4146,11930,12221,3156,18003,6357,10051,29061,0,0,0,1,0,0
C4-32,2018,4,8385,11534,74959,7806,3970,11606,12044,3081,19117,6432,9823,17827,0,0,0,1,0,0
C5-0,2008,2,1802,1102,1047,1759,1309,1125,1339,1517,1684,1507,1554,1074,0,0,0,0,1,0
C5-1,2008,3,2038,1267,1254,1995,1430,1364,1480,1604,1677,1640,1985,1223,0,0,0,0,1,0
C5-2,2008,4,2374,1468,1404,2438,1695,1581,1588,1845,1867,1902,2011,1459,0,0,0,0,1,0
C5-3,2009,2,2589,1498,1687,2705,1836,1690,1909,2033,2185,2031,2164,1379,0,0,0,0,1,0
C5-4,2009,3,3141,1696,1947,3141,2208,2034,2089,2400,2334,2301,2360,1694,0,0,0,0,1,0
C5-5,2009,4,3585,1988,1993,3642,2481,2507,2201,2383,2467,2589,3067,1841,0,0,0,0,1,0
C5-6,2010,2,3728,2033,2233,4474,2452,2752,2589,2932,2707,2796,3188,2094,0,0,0,0,1,0
C5-7,2010,3,4426,2123,2461,4843,2974,3195,2446,3172,2969,2853,3195,2369,0,0,0,0,1,0
C5-8,2010,4,4861,2510,2630,5500,2919,3502,2787,3530,3602,3126,3760,2679,0,0,0,0,1,0
C5-9,2011,2,5570,2735,2935,5969,3130,4026,3122,3646,3975,3596,4322,2973,0,0,0,0,1,0
C5-10,2011,3,6307,2918,3220,6710,3756,4442,3369,3842,4317,4141,4426,3363,0,0,0,0,1,0
C5-11,2011,4,7998,3281,3891,7749,3945,4852,4098,4086,4761,4231,5245,3981,0,0,0,0,1,0
C5-12,2012,2,8839,3645,4035,8412,4505,5309,3922,5022,5217,4124,5898,4081,0,0,0,0,1,0
C5-13,2012,3,9731,4023,4534,11472,5137,6003,4476,4750,5162,4673,6814,4594,0,0,0,0,1,0
C5-14,2012,4,10464,4413,5506,11329,5798,7699,5685,6314,6180,5041,7275,5352,0,0,0,0,1,0
C5-15,2013,2,12140,5050,6172,13802,6025,7060,5715,6137,6837,6074,7805,5348,0,0,0,0,1,0
C5-16,2013,3,13170,5819,7066,13871,6261,9286,6015,6719,7234,5903,8589,6548,0,0,0,0,1,0
C5-17,2013,4,15421,5335,7472,17084,7400,9908,7047,6918,8096,7417,9515,7676,0,0,0,0,1,0
C5-18,2014,2,16317,6764,8867,19444,8217,10842,8067,8786,9584,8061,10744,7262,0,0,0,0,1,0
C5-19,2014,3,20726,6004,9508,23276,8928,13406,9132,7969,9970,8672,11569,8754,0,0,0,0,1,0
C5-20,2014,4,24512,7219,10130,23766,10283,15121,9225,11054,10246,8563,13543,10627,0,0,0,0,1,0
C5-21,2015,2,25533,8235,11271,28800,10461,16586,10508,10373,11710,10044,15016,11328,0,0,0,0,1,0
C5-22,2015,3,29927,8782,12802,34001,11021,18124,10144,12070,13723,11273,17598,11678,0,0,0,0,1,0
C5-23,2015,4,35859,9320,15017,38238,13051,22359,13284,14411,13444,11869,18951,13954,0,0,0,0,1,0
C5-24,2016,2,41727,11520,16794,42654,14377,27934,14804,14252,16418,13015,20544,16067,0,0,0,0,1,0
C5-25,2016,3,42517,12964,18437,49799,16522,29441,16489,15330,18684,13680,22748,15881,0,0,0,0,1,0
C5-26,2016,4,47758,12990,21534,58168,16368,34565,17807,17083,20904,15492,25317,19249,0,0,0,0,1,0
C5-27,2017,2,58816,15349,22695,62639,19925,37615,19244,20366,20975,17659,28438,21047,0,0,0,0,1,0
C5-28,2017,3,59891,15623,24801,73916,23198,40693,19888,21267,23568,19432,30541,23827,0,0,0,0,1,0
C5-29,2017,4,71653,17593,29765,85587,22442,50896,21423,23805,25487,19987,34086,27734,0,0,0,0,1,0
C5-30,2018,2,85745,19903,33976,99211,24222,52341,23624,24595,27509,22955,37294,30264,0,0,0,0,1,0
C5-31,2018,3,92099,21246,39151,117120,25146,59731,27887,24629,30784,24822,38915,33693,0,0,0,0,1,0
C5-32,2018,4,98875,23201,42003,110643,29259,72801,29029,30423,33697,26614,46051,35698,0,0,0,0,1,0
C6-0,2008,2,1334,1670,1389,1741,1118,6452,10609,1605,1052,1392,1759,1808,0,0,0,0,0,1
C6-1,2008,3,1545,1868,1706,1971,1149,5816,11194,2112,1003,1749,1889,2383,0,0,0,0,0,1
C6-2,2008,4,1765,2252,1976,2074,1301,6670,10682,2131,1243,1756,2079,2207,0,0,0,0,0,1
C6-3,2009,2,1858,2610,2219,2448,1568,5882,10635,2904,1340,2119,2236,2955,0,0,0,0,0,1
C6-4,2009,3,1913,3000,2738,2951,1644,6601,10180,3331,1466,2095,2458,3379,0,0,0,0,0,1
C6-5,2009,4,2336,3311,2620,3461,1986,6253,10520,3670,1495,2514,2590,4120,0,0,0,0,0,1
C6-6,2010,2,2362,3442,3416,3273,2513,5834,10858,3673,1680,2693,2747,4594,0,0,0,0,0,1
C6-7,2010,3,2832,4031,3661,3669,2632,6054,10293,4303,2004,2868,3249,5152,0,0,0,0,0,1
C6-8,2010,4,3122,4462,3983,4021,3150,5845,10894,4721,1984,3398,3360,5665,0,0,0,0,0,1
C6-9,2011,2,2846,4877,4759,3934,3504,6140,10632,5051,2187,3782,3517,6551,0,0,0,0,0,1
C6-10,2011,3,3111,4863,5002,4625,4030,6256,10766,5146,2356,3891,3612,7362,0,0,0,0,0,1
C6-11,2011,4,2974,5457,4666,4442,4405,6162,11028,5856,2567,4445,3595,9659,0,0,0,0,0,1
C6-12,2012,2,2981,5301,6042,4749,5088,6353,10827,6916,2743,5256,4289,10498,0,0,0,0,0,1
C6-13,2012,3,3908,6553,6141,5383,5814,5996,11477,6560,2808,5244,4241,11728,0,0,0,0,0,1
C6-14,2012,4,3893,6272,6133,5487,6197,6438,10297,6860,3242,5789,4486,14534,0,0,0,0,0,1
C6-15,2013,2,3904,6504,6891,5941,7673,6655,11263,7266,3786,6888,4651,16157,0,0,0,0,0,1
C6-16,2013,3,4204,6629,7061,6031,7768,6037,10379,8226,3495,7489,4911,19236,0,0,0,0,0,1
C6-17,2013,4,4435,7520,6792,6262,9775,5915,10425,8331,4416,8753,4910,20804,0,0,0,0,0,1
C6-18,2014,2,4585,7712,7692,5999,11680,6062,10136,8882,4887,9503,5051,23915,0,0,0,0,0,1
C6-19,2014,3,4999,7716,7420,7112,13190,5910,11131,9615,5000,10213,5355,24805,0,0,0,0,0,1
C6-20,2014,4,4797,8961,9419,6968,15009,5821,10257,9173,5377,11285,5673,30949,0,0,0,0,0,1
C6-21,2015,2,5230,8544,8404,7051,16450,6720,10450,9621,5418,12947,6058,33556,0,0,0,0,0,1
C6-22,2015,3,4910,9565,7806,7712,16183,6146,10227,10837,6088,12871,5861,38530,0,0,0,0,0,1
C6-23,2015,4,5296,9449,9818,8504,22066,6198,11093,9417,7467,16078,6468,47226,0,0,0,0,0,1
C6-24,2016,2,5597,10050,8900,7649,23408,6560,10558,10721,8261,17628,6349,57509,0,0,0,0,0,1
C6-25,2016,3,5679,10298,10451,8105,26406,6373,10259,10954,7840,17019,7251,58355,0,0,0,0,0,1
C6-26,2016,4,5761,9937,10716,8722,30893,6633,10429,11706,10081,19858,6885,75579,0,0,0,0,0,1
C6-27,2017,2,6474,10490,10372,7856,34321,6390,9612,12618,10008,23488,6730,85011,0,0,0,0,0,1
C6-28,2017,3,6175,11488,11173,9234,40179,6160,10793,12247,10918,26823,8161,81693,0,0,0,0,0,1
C6-29,2017,4,7113,10535,11011,9509,44274,6048,9501,13008,11368,26995,7289,110954,0,0,0,0,0,1
C6-30,2018,2,6931,10794,10744,9928,55021,6228,10338,11769,12767,31462,7330,126331,0,0,0,0,0,1
C6-31,2018,3,7069,12265,12397,10380,59384,6890,10929,13562,13733,35277,8287,140547,0,0,0,0,0,1
C6-32,2018,4,7243,12591,13437,10126,68997,6319,11221,14870,16631,38795,8078,158466,0,0,0,0,0,1
