Description:           Master Index of EDGAR Dissemination Feed by Company Name
Last Data Received:    June 30, 1994
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
Company Name                                                  Form Type   CIK         Date Filed  File Name
AEL INDUSTRIES INC                                            DEF 14A     4911        1994-05-17  edgar/data/4911/0000004911-94-000015.txt            
AEP GENERATING CO /OH/                                        10-Q        857571      1994-05-16  edgar/data/857571/0000004904-94-000047.txt          
AEP GENERATING CO /OH/                                        35-CERT     857571      1994-05-27  edgar/data/857571/0000004904-94-000054.txt          
AETNA CAPITAL LLC                                             8-A12B      920840      1994-04-13  edgar/data/920840/0000950103-94-002042.txt          
AETNA CAPITAL LLC                                             S-3/A       920840      1994-04-13  edgar/data/920840/0000950103-94-002041.txt          
AETNA LIFE & CASUALTY CO                                      10-Q        2648        1994-05-13  edgar/data/2648/0000002648-94-000022.txt            
AETNA LIFE & CASUALTY CO                                      11-K/A      2648        1994-05-20  edgar/data/2648/0000002648-94-000025.txt            
AETNA LIFE & CASUALTY CO                                      8-A12B      2648        1994-04-13  edgar/data/2648/0000950103-94-002042.txt            
AETNA LIFE & CASUALTY CO                                      DEFA14A     2648        1994-04-01  edgar/data/2648/0000002648-94-000019.txt            
AETNA LIFE & CASUALTY CO                                      DEFA14A     2648        1994-04-15  edgar/data/2648/0000002648-94-000021.txt            
AETNA LIFE & CASUALTY CO                                      S-3/A       2648        1994-04-13  edgar/data/2648/0000950103-94-002041.txt            
AFD EXCHANGE RESERVES                                         NSAR-A      917713      1994-05-26  edgar/data/917713/0000917713-94-000001.txt          
AFLAC INC                                                     10-Q        4977        1994-05-11  edgar/data/4977/0000004977-94-000008.txt            
AFLAC INC                                                     11-K        4977        1994-06-29  edgar/data/4977/0000004977-94-000013.txt            
AFLAC INC                                                     S-8         4977        1994-05-20  edgar/data/4977/0000004977-94-000010.txt            
AGCO CORP /DE                                                 SC 13G/A    880266      1994-05-06  edgar/data/880266/0000315066-94-001112.txt          
AGCO CORP /DE                                                 SC 13G/A    880266      1994-06-09  edgar/data/880266/0000315066-94-001227.txt          
AGCO CORP /DE                                                 SC 13G/A    880266      1994-06-09  edgar/data/880266/0000315066-94-001228.txt          
AGENCY RENT A CAR INC                                         10-K        718936      1994-04-27  edgar/data/718936/0000950152-94-000440.txt          
AGENCY RENT A CAR INC                                         10-Q        718936      1994-06-10  edgar/data/718936/0000950152-94-000595.txt          
AGENCY RENT A CAR INC                                         DEF 14A     718936      1994-05-24  edgar/data/718936/0000950152-94-000564.txt          
AGWAY INC                                                     10-Q        2852        1994-05-13  edgar/data/2852/0000002852-94-000007.txt            
AGWAY INC                                                     S-8         2852        1994-06-10  edgar/data/2852/0000002852-94-000009.txt            
AHMANSON H F & CO /DE/                                        10-Q        771667      1994-05-16  edgar/data/771667/0000771667-94-000004.txt          
AHMANSON H F & CO /DE/                                        11-K        771667      1994-06-29  edgar/data/771667/0000771667-94-000007.txt          
AHMANSON H F & CO /DE/                                        S-3/A       771667      1994-06-09  edgar/data/771667/0000898430-94-000429.txt          
AHMANSON H F & CO /DE/                                        S-8         771667      1994-05-13  edgar/data/771667/0000898814-94-000041.txt          
AHMANSON H F & CO /DE/                                        SC 13G/A    771667      1994-04-06  edgar/data/771667/0000950150-94-000459.txt          
AIM CONVERTIBLE SECURITIES INC                                NSAR-A      225208      1994-04-29  edgar/data/225208/0000225208-94-000008.txt          
AIM EQUITY FUNDS INC                                          NSAR-A      105377      1994-06-29  edgar/data/105377/0000105377-94-000003.txt          
AIM HIGH YIELD SECURITIES INC                                 NSAR-A      216115      1994-04-27  edgar/data/216115/0000216115-94-000002.txt          
AIM INTERNATIONAL FUNDS INC                                   NSAR-A      880859      1994-06-29  edgar/data/880859/0000880859-94-000001.txt          
AIM STRATEGIC INCOME FUND INC                                 NSAR-B/A    844778      1994-04-05  edgar/data/844778/0000844778-94-000004.txt          
AIM SUMMIT FUND INC                                           NSAR-A      701748      1994-06-29  edgar/data/701748/0000701748-94-000001.txt          
AIM TAX EXEMPT FUNDS INC                                      NSAR-B      814723      1994-06-01  edgar/data/814723/0000814723-94-000001.txt          
AIR & WATER TECHNOLOGIES CORP                                 10-K/A      823556      1994-05-13  edgar/data/823556/0000950130-94-000751.txt          
AIR & WATER TECHNOLOGIES CORP                                 10-K/A      823556      1994-05-23  edgar/data/823556/0000950130-94-000808.txt          
AIR & WATER TECHNOLOGIES CORP                                 10-Q        823556      1994-06-13  edgar/data/823556/0000823556-94-000003.txt          
AIR & WATER TECHNOLOGIES CORP                                 10-Q/A      823556      1994-05-13  edgar/data/823556/0000950130-94-000752.txt          
AIR & WATER TECHNOLOGIES CORP                                 10-Q/A      823556      1994-05-23  edgar/data/823556/0000950130-94-000807.txt          
AIR & WATER TECHNOLOGIES CORP                                 11-K        823556      1994-06-29  edgar/data/823556/0000823556-94-000005.txt          
AIR & WATER TECHNOLOGIES CORP                                 8-K         823556      1994-05-13  edgar/data/823556/0000950109-94-000850.txt          
AIR & WATER TECHNOLOGIES CORP                                 8-K         823556      1994-06-20  edgar/data/823556/0000823556-94-000004.txt          
AIR & WATER TECHNOLOGIES CORP                                 DEF 14A     823556      1994-05-25  edgar/data/823556/0000950109-94-000908.txt          
AIR & WATER TECHNOLOGIES CORP                                 SC 13D/A    823556      1994-04-01  edgar/data/823556/0000950103-94-001948.txt          
AIR & WATER TECHNOLOGIES CORP                                 SC 13D/A    823556      1994-06-15  edgar/data/823556/0000950103-94-003144.txt          
AIR EXPRESS INTERNATIONAL CORP /DE/                           10-K/A      700674      1994-04-28  edgar/data/700674/0000909518-94-000076.txt          
AIR EXPRESS INTERNATIONAL CORP /DE/                           10-Q        700674      1994-05-13  edgar/data/700674/0000700674-94-000003.txt          
AIR EXPRESS INTERNATIONAL CORP /DE/                           10-Q/A      700674      1994-05-17  edgar/data/700674/0000700674-94-000004.txt          
AIR EXPRESS INTERNATIONAL CORP /DE/                           DEF 14A     700674      1994-05-20  edgar/data/700674/0000950130-94-000799.txt          
AIR EXPRESS INTERNATIONAL CORP /DE/                           S-8         700674      1994-04-01  edgar/data/700674/0000909518-94-000060.txt          
AIR PRODUCTS & CHEMICALS INC /DE/                             10-Q        2969        1994-05-16  edgar/data/2969/0000950123-94-000932.txt            
AIR PRODUCTS & CHEMICALS INC /DE/                             424B3       2969        1994-04-26  edgar/data/2969/0000950123-94-000820.txt            
AIR PRODUCTS & CHEMICALS INC /DE/                             8-K         2969        1994-04-21  edgar/data/2969/0000950123-94-000786.txt            
AIR PRODUCTS & CHEMICALS INC /DE/                             8-K         2969        1994-05-11  edgar/data/2969/0000950123-94-000886.txt            
AIR PRODUCTS & CHEMICALS INC /DE/                             8-K         2969        1994-06-01  edgar/data/2969/0000950123-94-000997.txt            
AIRBORNE FREIGHT CORP /DE/                                    10-Q        3000        1994-05-12  edgar/data/3000/0000003000-94-000009.txt            
AIRBORNE FREIGHT CORP /DE/                                    8-K         3000        1994-05-05  edgar/data/3000/0000003000-94-000005.txt            
AIRLIE GROUP LP ET AL                                         SC 13D/A    904429      1994-05-27  edgar/data/904429/0000897423-94-000023.txt          
AIRTRAN CORP                                                  SC 13D/A    835768      1994-06-08  edgar/data/835768/0000315066-94-001221.txt          
ALABAMA GAS CORP                                              10-Q        3146        1994-05-13  edgar/data/3146/0000277595-94-000010.txt            
ALABAMA POWER CO                                              10-Q        3153        1994-05-16  edgar/data/3153/0000950144-94-001079.txt            
ALABAMA TAX FREE PORTFOLIO                                    NSAR-A      892270      1994-05-20  edgar/data/892270/0000892270-94-000001.txt          
ALASKA AIR GROUP INC                                          10-Q        766421      1994-05-05  edgar/data/766421/0000766421-94-000009.txt          
ALBANY INTERNATIONAL CORP /DE/                                10-Q        819793      1994-04-28  edgar/data/819793/0000912057-94-001508.txt          
ALBANY INTERNATIONAL CORP /DE/                                11-K        819793      1994-06-24  edgar/data/819793/0000912057-94-002136.txt          
ALBANY INTERNATIONAL CORP /DE/                                8-K         819793      1994-06-30  edgar/data/819793/0000912057-94-002207.txt          
ALBEMARLE INVESTMENT TRUST/                                   NSAR-A      812073      1994-05-16  edgar/data/812073/0000812073-94-000001.txt          
ALBERTO CULVER CO                                             SC 13G/A    3327        1994-05-10  edgar/data/3327/0000766524-94-000135.txt            
ALBERTSONS INC /DE/                                           10-K        3333        1994-04-06  edgar/data/3333/0000003333-94-000002.txt            
ALBERTSONS INC /DE/                                           10-Q        3333        1994-06-06  edgar/data/3333/0000003333-94-000004.txt            
ALBERTSONS INC /DE/                                           DEF 14A     3333        1994-04-14  edgar/data/3333/0000891020-94-000056.txt            
ALC COMMUNICATIONS CORP                                       10-Q        783425      1994-05-13  edgar/data/783425/0000950124-94-001009.txt          
ALC COMMUNICATIONS CORP                                       S-8         783425      1994-05-27  edgar/data/783425/0000950124-94-001058.txt          
ALC COMMUNICATIONS CORP                                       S-8 POS     783425      1994-06-30  edgar/data/783425/0000950124-94-001205.txt          
ALC COMMUNICATIONS CORP                                       S-8 POS     783425      1994-06-30  edgar/data/783425/0000950124-94-001207.txt          
ALC COMMUNICATIONS CORP                                       SC 13G/A    783425      1994-05-06  edgar/data/783425/0000315066-94-001113.txt          
ALCO CAPITAL RESOURCE INC                                     10-12G      922255      1994-05-04  edgar/data/922255/0000950109-94-000771.txt          
ALCO CAPITAL RESOURCE INC                                     10-12G/A    922255      1994-05-27  edgar/data/922255/0000950109-94-000913.txt          
ALCO CAPITAL RESOURCE INC                                     10-12G/A    922255      1994-06-16  edgar/data/922255/0000950109-94-000998.txt          
ALCO CAPITAL RESOURCE INC                                     10-12G/A    922255      1994-06-17  edgar/data/922255/0000950109-94-001001.txt          
ALCO CAPITAL RESOURCE INC                                     10-12G/A    922255      1994-06-29  edgar/data/922255/0000950109-94-001087.txt          
ALCO CAPITAL RESOURCE INC                                     S-3         922255      1994-05-24  edgar/data/922255/0000950109-94-000901.txt          
ALCO CAPITAL RESOURCE INC                                     S-3/A       922255      1994-06-16  edgar/data/922255/0000950109-94-000999.txt          
ALCO CAPITAL RESOURCE INC                                     S-3/A       922255      1994-06-17  edgar/data/922255/0000950109-94-001000.txt          
ALCO CAPITAL RESOURCE INC                                     S-3/A       922255      1994-06-29  edgar/data/922255/0000950109-94-001086.txt          
ALCO HEALTH SERVICES CORP                                     10-Q        731269      1994-05-13  edgar/data/731269/0000950109-94-000842.txt          
ALCO STANDARD CORP                                            10-K/A      3370        1994-05-05  edgar/data/3370/0000950109-94-000790.txt            
ALCO STANDARD CORP                                            10-Q        3370        1994-05-13  edgar/data/3370/0000950109-94-000821.txt            
ALCO STANDARD CORP                                            10-Q/A      3370        1994-05-05  edgar/data/3370/0000950109-94-000789.txt            
ALCO STANDARD CORP                                            11-K        3370        1994-06-28  edgar/data/3370/0000950109-94-001068.txt            
ALCO STANDARD CORP                                            11-K        3370        1994-06-28  edgar/data/3370/0000950109-94-001069.txt            
ALCO STANDARD CORP                                            S-3         3370        1994-05-19  edgar/data/3370/0000950109-94-000875.txt            
ALCOA INTERNATIONAL HOLDINGS CO                               10-Q        836243      1994-05-12  edgar/data/836243/0000836243-94-000004.txt          
ALEXANDER & ALEXANDER SERVICES INC                            10-Q        3449        1994-05-16  edgar/data/3449/0000003449-94-000008.txt            
ALEXANDER & ALEXANDER SERVICES INC                            11-K        3449        1994-06-30  edgar/data/3449/0000950112-94-001803.txt            
ALEXANDER & ALEXANDER SERVICES INC                            8-K         3449        1994-04-21  edgar/data/3449/0000003449-94-000006.txt            
ALEXANDER & ALEXANDER SERVICES INC                            8-K         3449        1994-06-14  edgar/data/3449/0000950112-94-001575.txt            
ALEXANDER & ALEXANDER SERVICES INC                            DEFS14A     3449        1994-06-27  edgar/data/3449/0000950112-94-001782.txt            
ALEXANDER & ALEXANDER SERVICES INC                            PRER14A     3449        1994-06-17  edgar/data/3449/0000950112-94-001621.txt            
ALEXANDER & ALEXANDER SERVICES INC                            PRES14A     3449        1994-06-10  edgar/data/3449/0000950112-94-001574.txt            
ALEXANDER & ALEXANDER SERVICES INC                            SC 13G/A    3449        1994-04-08  edgar/data/3449/0000729057-94-000102.txt            
ALEXANDER & BALDWIN INC                                       SC 13G/A    3453        1994-05-06  edgar/data/3453/0000950144-94-000979.txt            
ALGER DEFINED CONTRIBUTION TRUST                              NSAR-A      911415      1994-06-30  edgar/data/911415/0000911415-94-000007.txt          
ALGER FUND                                                    NSAR-A      3521        1994-06-28  edgar/data/3521/0000003521-94-000003.txt            
ALL AMERICAN TERM TRUST INC                                   NSAR-B      894233      1994-04-01  edgar/data/894233/0000894233-94-000001.txt          
ALLEGHANY CORP /DE                                            10-Q        775368      1994-05-13  edgar/data/775368/0000906416-94-000008.txt          
ALLEGHANY CORP /DE                                            DEFA14A     775368      1994-04-08  edgar/data/775368/0000950123-94-000723.txt          
ALLEGHENY & WESTERN ENERGY CORP                               10-Q        351547      1994-05-16  edgar/data/351547/0000351547-94-000012.txt          
ALLEGHENY LUDLUM CORP                                         10-Q        811929      1994-05-13  edgar/data/811929/0000811929-94-000011.txt          
ALLEGHENY LUDLUM CORP                                         11-K        811929      1994-06-10  edgar/data/811929/0000811929-94-000016.txt          
ALLEGHENY LUDLUM CORP                                         8-K         811929      1994-04-07  edgar/data/811929/0000811929-94-000004.txt          
ALLEGHENY LUDLUM CORP                                         8-K         811929      1994-04-08  edgar/data/811929/0000811929-94-000006.txt          
ALLEGHENY LUDLUM CORP                                         8-K         811929      1994-06-10  edgar/data/811929/0000811929-94-000017.txt          
ALLEGHENY LUDLUM CORP                                         8-K/A       811929      1994-04-08  edgar/data/811929/0000811929-94-000007.txt          
ALLEGHENY LUDLUM CORP                                         S-8         811929      1994-06-10  edgar/data/811929/0000811929-94-000015.txt          
ALLEGHENY LUDLUM CORP                                         SC 13D/A    811929      1994-05-03  edgar/data/811929/0000898431-94-000014.txt          
ALLEGHENY LUDLUM CORP                                         SC 13G      811929      1994-04-08  edgar/data/811929/0000068100-94-000290.txt          
ALLEGHENY POWER SERVICE CORP                                  U-13-60     828993      1994-04-26  edgar/data/828993/0000828993-94-000005.txt          
ALLEGHENY POWER SYSTEM INC                                    10-Q        3673        1994-05-12  edgar/data/3673/0000003673-94-000039.txt            
ALLEGHENY POWER SYSTEM INC                                    35-CERT     3673        1994-04-06  edgar/data/3673/0000003673-94-000025.txt            
ALLEGHENY POWER SYSTEM INC                                    35-CERT     3673        1994-04-15  edgar/data/3673/0000003673-94-000031.txt            
ALLEGHENY POWER SYSTEM INC                                    35-CERT     3673        1994-05-16  edgar/data/3673/0000003673-94-000042.txt            
ALLEGHENY POWER SYSTEM INC                                    35-CERT     3673        1994-06-15  edgar/data/3673/0000003673-94-000049.txt            
ALLEGHENY POWER SYSTEM INC                                    35-CERT     3673        1994-06-30  edgar/data/3673/0000003673-94-000052.txt            
ALLEGHENY POWER SYSTEM INC                                    DEF 14A     3673        1994-04-11  edgar/data/3673/0000950123-94-000736.txt            
ALLEGHENY POWER SYSTEM INC                                    U-1         3673        1994-04-07  edgar/data/3673/0000003673-94-000027.txt            
ALLEGHENY POWER SYSTEM INC                                    U-1/A       3673        1994-04-26  edgar/data/3673/0000003673-94-000033.txt            
ALLEGHENY POWER SYSTEM INC                                    U5S         3673        1994-04-29  edgar/data/3673/0000003673-94-000035.txt            
ALLEN GROUP INC                                               10-K        3721        1994-04-26  edgar/data/3721/0000950152-94-000432.txt            
ALLEN GROUP INC                                               10-K/A      3721        1994-04-29  edgar/data/3721/0000003721-94-000018.txt            
ALLEN GROUP INC                                               10-Q        3721        1994-05-13  edgar/data/3721/0000003721-94-000029.txt            
ALLEN GROUP INC                                               DEF 14A     3721        1994-04-20  edgar/data/3721/0000950152-94-000419.txt            
ALLEN GROUP INC                                               S-8         3721        1994-05-05  edgar/data/3721/0000003721-94-000022.txt            
ALLEN GROUP INC                                               S-8         3721        1994-05-05  edgar/data/3721/0000003721-94-000024.txt            
ALLERGAN INC                                                  10-Q        850693      1994-05-12  edgar/data/850693/0000892569-94-000123.txt          
